,video_id,video_title,author,comment,likes,published_at,category,clean_comment,car_model,topic
0,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@carwow,Sell your car for free with Carwow: https://bit.ly/-Sell-Your-Car-For-Free-2907,133,2024-07-29T10:12:23Z,suv,sell car free carlow,Other,Other
1,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@silvanelsire5971,wheres xc90,0,2026-03-17T08:23:53Z,suv,xci,Other,Other
2,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@kingofthebridge8339,Land cruiser is better than all of them.,0,2026-03-12T20:49:12Z,suv,land cruiser good,Other,Other
3,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@andrescardonagutierrez6732,Where’s the Volvo xC90,0,2026-03-04T21:58:20Z,suv,volvo xci,Volvo,Other
4,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@johns8702,I can see u only praise bmw .. not good,0,2026-02-25T04:19:54Z,suv,see praise bow not good,bmw,Other
5,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@JoelGustafsson-c9x,You said the Audi is better then the Mercedes so it is 2 nd,0,2026-02-24T22:07:45Z,suv,say audi well mercedes a and,Audi,Other
6,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@adriandavies8204,BMW be in the workshop first as well,0,2026-02-23T09:35:00Z,suv,bow workshop first well,BMW,Other
7,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@JoeLinVan,Where is the Lexus?,0,2026-02-21T00:07:55Z,suv,lexus,Lexus,Other
8,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@TheArmory1533,cayenne is a nice ride for the price,0,2026-02-20T04:47:28Z,suv,cayenne nice ride price,Other,price
9,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@DJAPO,Porsche #1,0,2026-02-18T21:36:39Z,suv,porsche a,Porsche,Other
10,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@aerotus888,Id rather buy a flat,1,2026-02-16T19:55:41Z,suv,id rather buy flat,Other,Other
11,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@Tedptod28,I think it’s just the brands the vw is the best to me,0,2026-02-16T17:05:54Z,suv,think brand vow best,Other,Other
12,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@SR-bu6kz,"How is VW more expensive than their “premium” brand, the Audi",0,2026-02-15T21:28:49Z,suv,vow more expensive premium brand audi,Audi,Other
13,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@1-1-2robloxentreinenmetjordan,made a video about the W245 B200 turbo,0,2026-02-15T20:22:33Z,suv,make video w245 b200 turbo,Other,Other
14,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@lukaszjot86,Bmw!! Winner,0,2026-02-13T16:19:06Z,suv,bow exclamation_strong winner,Bmw,Other
15,PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@WarMatt86,Too bad the Volvo XC90 is missing,0,2026-02-11T17:33:33Z,suv,bad volvo xci miss,Volvo,Other
