,comment,majority_vote_final,index
0,Sell your car for free with Carwow: https://bit.ly/-Sell-Your-Car-For-Free-2907,neutral,0
1,wheres xc90,neutral,1
2,Land cruiser is better than all of them.,positive,2
3,Where’s the Volvo xC90,neutral,3
4,I can see u only praise bmw .. not good,negative,4
5,You said the Audi is better then the Mercedes so it is 2 nd,neutral,5
6,BMW be in the workshop first as well,neutral,6
7,Where is the Lexus?,neutral,7
8,cayenne is a nice ride for the price,positive,8
9,Porsche #1,positive,9
10,Id rather buy a flat,negative,10
11,I think it’s just the brands the vw is the best to me,positive,11
12,"How is VW more expensive than their “premium” brand, the Audi",neutral,12
13,made a video about the W245 B200 turbo,neutral,13
14,Bmw!! Winner,positive,14
15,Too bad the Volvo XC90 is missing,negative,15
16,..I only see one victory: VWAG�,neutral,16
17,"cant really compare a x5 with a 17, shouldve been q8 with x5 or q7 with x7",neutral,17
18,China combine those 6 and build one best SUV based on the ideas,positive,18
19,Why ain't toyota in this this video?�,neutral,19
20,Why isn't the Volvo XC90 T8 included or the Range Rover Sport ? Would have been great to see a comparison including these two,positive,20
21,I had a GLE and an XC90 for a couple of weeks to do some l9ng distance ferrying. The XC90 was far more comfortable. I did a 5hr non stop journey and got out without an ache or pain. I did a 3hr stint in the GLE and got out with back and hip ache,positive,21
22,Nice..,positive,22
23,x5 any day,neutral,23
24,5:56 lol,neutral,24
25,Range Rover sport???,neutral,25
26,Is it me or do they all look bland?,negative,26
27,Any SUV pushing less than 300bhp minimum is pointless,negative,27
28,Cayenne 100%,neutral,28
29,Imagine testing 3 Tuaregs in the same Video,neutral,29
30,"I went from a Q7 to a new Touareg and then within a year back to a Q7 (SQ7) that was actually 4 years older than the Touareg. My feelings about the Touareg were the same as Matt's. It didnt feel special, it didnt feel as rock solid, it was coarser sounding and the steering wheel mounted touch controls drove me absolutely insane. Particularly the cruise control. Both my Q7s (including the one I sold at 8yo with nearly 100k kms on it) drove and felt nicer than the Touareg.",neutral,30
31,watch this channel to end up hating everyone car made in the market.......,neutral,31
32,"Difficult choice there. VW automatically go out. 90k for Touareg , no thank you. Audi Q7 is allready old model ....3 left.  I don't know. They are all 3 nice looking cars  I like the Mercedes ,the Cayenne and the BMW. BMW out for the boot .2 left. Porsche skyrockets their prices last 5 years ,so Mercedes is the winner!",neutral,32
33,"U tested the Q7 from Audi, but the X5 and GLE from BMW and Mercedes respectively? Why not the X7 and GLS? Those are the Luxury SUVs from BMW and Mercedes",neutral,33
34,No Volvo? Shit test.,negative,34
35,"The upholstery on the GLE is absolutely disgraceful. The cheapest ""real"" leather I've ever seen",negative,35
36,"Mercedes-Benz, the best or nothing1",positive,36
37,Where is rang rover,neutral,37
38,How do people afford a 100grand suv? Am I just poor?,neutral,38
39,"Buy the BMW.  The B58 I6 engine in this diesel form will run forever. The B58 gas version is also bulletproof.   Based on USA Consumer Reports 2025-2026 rankings, which include reliability, BMW almost tied Subaru for #1. BMW was #1 in the luxury category.  The only one close in reliability, in this group, is the Porsche but the Porsche parts cost more than gold.",positive,39
40,"I adore the BMW. Before my husband gave me a Cayenne and I fell in love, it was my ideal vehicle.",positive,40
41,"20% straight for the government, the biggest winner of every sale",positive,41
42,In EU  Treg is from 54k €�,neutral,42
43,And where is Lexus rx? �,neutral,43
44,BMW���,neutral,44
45,Q7 c es plutôt mercedes GLS,neutral,45
46,No Alfa Romeo Stelvio? C'mon...,neutral,46
47,heeey Audi isnt just meeh���,neutral,47
48,"Carwow, you should incorporate short and long term reliability into your comparisons.",neutral,48
