video_id,video_title,author,comment,likes,published_at
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@carwow,Sell your car for free with Carwow: https://bit.ly/-Sell-Your-Car-For-Free-2907,133,2024-07-29T10:12:23Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@andrescardonagutierrez6732,Where’s the Volvo xC90,0,2026-03-04T21:58:20Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@johns8702,I can see u only praise bmw .. not good,0,2026-02-25T04:19:54Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@JoelGustafsson-c9x,You said the Audi is better then the Mercedes so it is 2 nd,0,2026-02-24T22:07:45Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@adriandavies8204,BMW be in the workshop first as well,0,2026-02-23T09:35:00Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@JoeLinVan,Where is the Lexus?,0,2026-02-21T00:07:55Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@TheArmory1533,cayenne is a nice ride for the price,0,2026-02-20T04:47:28Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@DJAPO,Porsche #1,0,2026-02-18T21:36:39Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@aerotus888,Id rather buy a flat,0,2026-02-16T19:55:41Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@Tedptod28,I think it’s just the brands the vw is the best to me,0,2026-02-16T17:05:54Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@SR-bu6kz,"How is VW more expensive than their “premium” brand, the Audi",0,2026-02-15T21:28:49Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@1-1-2robloxentreinenmetjordan,made a video about the W245 B200 turbo,0,2026-02-15T20:22:33Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@lukaszjot86,Bmw!! Winner,0,2026-02-13T16:19:06Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@WarMatt86,Too bad the Volvo XC90 is missing,0,2026-02-11T17:33:33Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@j.wagner8639,..I only see one victory: VWAG😅,0,2026-02-10T00:26:06Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@aaryan.4p,"cant really compare a x5 with a 17, shouldve been q8 with x5 or q7 with x7",0,2026-02-08T11:48:30Z
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@lordstark806,China combine those 6 and build one best SUV based on the ideas,0,2026-02-07T23:24:07Z
